,all,new_cnpq_level_1a,new_cnpq_level_2a,new_cnpq_level_3a,predicted_new_cnpq_level_1a,predicted_new_cnpq_level_2a,predicted_new_cnpq_level_3a
10,"Application of nitriles on the synthesis of 1,3-oxazoles, 2-oxazolines, and oxadiazoles: An update from 2014 to 2021 The importance of 5-membered azaheterocycles is well established, especially in the medicinal chemistry field, as these nuclei are present in many marketed top-selling drugs, but also other areas such as catalysis, material chemistry, and polymers. In this context, nitrile-containing compounds are very useful, stable, versatile, and accessible precursors to these heterocycles, which simplify the synthesis of many important structures and mitigate the burden of building robust molecular libraries in drug discovery. In this review we will provide an update on the synthesis of 1,3-oxazoles, 2-oxazolines, and oxadiazoles from nitriles, focusing on the most interesting reactions and methodologies reported from 2014 to 2021. © 2021 Elsevier Ltd 1,3-Oxazole; 2-Oxazoline; Azaheterocycles; Nitriles; Oxadiazole; Synthesis Tetrahedron",Ciências Exatas e da Terra,Química,Química Orgânica,Ciências Exatas e da Terra,Química,Química Orgânica
11,"Barriers to Access the Pap Smear Test for Cervical Cancer Screening in Rural Riverside Populations Covered by a Fluvial Primary Healthcare Team in the Amazon Cervical cancer is a major public health problem, especially in the north region of Brazil. The aim of the study was to identify the factors associated with not undergoing the cervical cancer screening test in rural riverside populations in the Amazon. A cross-sectional home-based survey was carried out in 38 locations covered by a fluvial primary healthcare team, and the administrative records of the screening tests from January 2016 to May 2019 were analyzed. After the descriptive analysis, logistic regression was performed considering the outcome of having undergone cervical cancer screening within the past three years. Of the 221 women assessed, 8.1% had never undergone the test, and 7.7% had undergone it more than three years ago. Multiparity (OR = 0.76 (95%CI = 0.64-0.90)), occupation in domestic activities (OR = 0.31 (95%CI = 0.11-0.89)), and lack of knowledge of the healthcare unit responsible for the service (OR = 0.18 (95%CI = 0.04-0.97)) were associated with not undergoing the cervical cancer screening test. The administrative records revealed that the screening test was performed outside the recommended age range (24%), performed needlessly (9.6%) with undue repetitions (3.2%), and a high percentage of the samples collected were unsatisfactory (23.5%). The findings revealed the existence of barriers for riverside women to access cervical cancer screening tests. uterine cervical neoplasms,cancer screening tests,rural population,access to health services International Journal of Environmental Research and Public Health",Ciências da Saúde,Saúde Coletiva,Saúde Pública,Ciências da Saúde,Saúde Coletiva,Saúde Pública
12,"The importance of bioelectrical impedance in the critical pediatric patient Background & aims: Sepsis is still a significant cause of death in the Intensive Care Unit and its early diagnosis is vital. Changes in cell permeability have been observed early in sepsis. Lower values of bioelectrical impedance (BIA) such as reactance adjusted by height (Xc/H) and phase angle (PA) have already been studied as a prognostic biomarker for many diseases and may indicate cell injury. BIA is a low cost, practical, noninvasive method that can be measured at bedside. This study investigated the utility of PA and Xc/H raw values in the pediatric critical care unit as predictors of progression to septic shock, as a clinical monitoring tool and to support the diagnosis of septic shock. Methods: We prospectively analyzed bioelectrical impedance in 145 children aged between one month and six years who were not in septic shock on admission to the intensive care unit Serial bioelectrical impedance analysis (BIA) measures were analyzed to determine the sensitivity and specificity of accurately identifying children who subsequently developed septic shock. Kaplan-Meier septic shock-free survival curves modeled by Xc/H and PA were done. Results: The free-septic shock survival curve analysis showed that patients with the lowest median values of Xc/H and PA were associated with the highest percentage of occurrence of septic shock (p = 0.0001 for Xc/H and <0.0006 for PA) and longest length of stay in the intensive care unit (p < 0.0011 for Xc/H and p < 0.004 for PA). Values of Xc/H below 48.63 Ohm/m at admission showed statistically significant odds ratio (OR) of 3.72 for developing septic shock any time during the hospitalization period, with a 87% sensitivity, 35% specificity and an area under the curve (AUC) of 0.62. The PA at admission did not show significant results. During hospitalization, patients with Xc/H below 35.72 Ohm/m were 3.38 times more likely to develop septic shock in the next day, with a sensitivity of 66.7%, a specificity of 62.3% and AUC of 0.65. PA values below 3.27 had an OR of 9.58 for a septic shock the next day with a sensitivity of 95.8%, specificity of 29.4% and AUC of 0.62. The presence of a value of Xc/H below 33 Ohm/m showed a strong association with the occurrence of septic shock on the same day of the measurement, with an OR of 11.7, as well as a value of PA below 2.64, showed an OR of 14.2. Conclusions: The bioelectrical parameters Xc/H and phase angle have limitations in predicting septic shock as isolated biomarkers, but have a potential role as a monitoring tool in the pediatric intensive care unit. The comparative value with other biomarkers remains to be elucidated. (C) 2019 Elsevier Ltd and European Society for Clinical Nutrition and Metabolism. All rights reserved. Sepsis,Electric impedance,Child,Critical illness,Septic shock,Biomarkers Clinical Nutrition Espen",Ciências da Saúde,Medicina,Saúde Materno-Infantil,Ciências da Saúde,Medicina,Saúde Materno-Infantil
13,"Identification of a novel alphavirus related to the encephalitis complexes circulating in southern Brazil In early 2017, an outbreak caused by an unknown and supposedly viral agent in the Marilena region of southern Brazil was investigated. Since the etiological agent causing the outbreak was not identified from human samples, mosquitoes from this region were collected. Three out of 121 mosquito pools collected from the region tested positive for alphavirus in molecular tests. Next generation sequencing results revealed the presence of a novel alphavirus, tentatively named here as Caainguá virus (CAAV). DNA barcoding analyses indicated that different species of Culex are hosts for CAAV. This new virus was basal to the New World encephalitic alphaviruses in a comprehensive and robust phylogenetic approach using complete genomes. Viral particles were observed in the cytosol and inside of intracellular compartments of cells in mosquito-derived cell cultures. Despite being noninfectious in vertebrate derived cell cultures, primary culturing of CAAV in human mononuclear cells suggests monocytes and lymphocytes as CAAV targets. However, the epidemiological link of CAAV on the human outbreak should be further explored. © 2019, © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group on behalf of Shanghai Shangyixun Cultural Communication Co., Ltd. Caainguá virus; Culex-associated virus; mosquito; new alphavirus; South Brazil Emerging Microbes and Infections",Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos,Ciências Biológicas,Microbiologia,Microbiologia Aplicada
14,"Children's Protagonism in a Science Exhibition: an Exploratory Study of an Exhibition in Rio de Janeiro (Brazil) Despite the fact that the majority of museum visitors are often very young children, much research in museums focuses on pre-teen learners (ages 8-12). Our goal in this study was to investigate the behaviors of children aged 5-8 during a visit to a science exhibition. We aim to develop a methodology to assess children's levels of engagement with the interactive exhibits and how the participation of explainers (mediation) affected this engagement. Our working hypothesis was that different activities (and different kinds of mediation) would generate different levels of engagement. We recorded videos from 13 groups of 5- to 8-year-old children visiting Aventuras pelo corpo humano, an interactive exhibition about the human body. A large data set including thousands of excerpts of video-taped activity was analyzed using collaborative, online, qualitative data analysis software (Dedoose). The results suggest that the type of mediation overrides the design of the exhibition when it comes to children visitors' experiences and that, despite their emphasis on promoting visitor engagement, explainer mediation strategies often represented deficit and banking models of teaching and learning, highlighting the importance of training for explainers that goes beyond content training and focuses on strategies of mediation that promote learner agency and protagonism. This study confirms previous empirical insights, which can help guide the design of future exhibitions as well as professional development of explainers and science communicators. Science museums,Science communication,Non-formal education,Public engagement in science,Protagonism,Agency RESEARCH IN SCIENCE EDUCATION",Ciências Sociais Aplicadas,Comunicação,,Ciências Humanas,Educação,Ensino-Aprendizagem
15,"Use of Psychotropic Drugs by the Population in an Area Affected by the Tailings Dam Collapse: Brumadinho Health Project This is a cross-sectional study, part of the Brumadinho Health Project, developed in 2021, with a representative sample of the adult population (18 years or older) residing in the municipality of the same name. A total of 2,805 individuals with information on self-reported use of psychotropic drugs (antidepressants and anxiolytic-hypnotics/sedatives) in the last 15 days were included in the analysis. The prevalence of psychotropic drug use was estimated and the most commonly used psychotropic drugs were identified. Pearson's chi-square test (with Rao-Scott correction) was used to test the associations between exposures and psychotropic drug use, considering a significance level of p<0.05. Psychotropic drugs; Medication use; Disaster; Pharmacoepidemiology Brazilian Journal of Epidemiology",Ciências da Saúde,Saúde Coletiva,Saúde Pública,Ciências da Saúde,Saúde Coletiva,Epidemiologia
16,"Gender and Race on the Frontline: Experiences of Health Workers in Brazil during the COVID-19 Pandemic Studies on the differential effects of health emergencies have largely overlooked women health workers. Whilst the literature has shown the impact of Coronavirus disease-19 (COVID-19) on women and on healthcare workers, little research has considered the gendered effects of the health workforce. This article analyses the impact of COVID-19 on healthcare workers and working conditions in Brazil's public healthcare system, through consideration of gendered and racialized understandings of care and work. Data were taken from an online survey of 1,263 health workers, undertaken between September and October 2020, disaggregated by sex and by race in order to understand health workers' experiences of the pandemic in one of the countries most significantly affected by the crisis.; Studies on the differential effects of health emergencies have largely overlookedwomen health workers. Whilst the literature has shown the impact of Coronavirusdisease-19 (COVID-19) on women and on healthcare workers, little research hasconsidered the gendered effects of the health workforce. This article analyses theimpact of COVID-19 on healthcare workers and working conditions in Brazil’spublic healthcare system, through consideration of gendered and racializedunderstandings of care and work. Data were taken from an online survey of1,263 health workers, undertaken between September and October 2020, disaggregated by sex and by race in order to understand health workers’ experiences ofthe pandemic in one of the countries most significantly affected by the crisis. NÃO INFORMADO SOCIAL POLITICS; SOCIAL POLITICS; Social Politics: International Studies in Gender, State & Society",Ciências da Saúde,Saúde Coletiva,Epidemiologia,Ciências da Saúde,Saúde Coletiva,Saúde Pública
17,"Use of silicone finger prostheses in amputee patients: An integrative review This study aimed to perform an integrative review of the literature on the use of silicone finger prostheses in amputee patients. Searches were performed in the PubMed, EMBASE, Web of Science, Scielo, and Cochrane Library databases until July 2021. Descriptors used in this article were: Silicone, finger, rehabilitation, and prosthesis. Clinical research and clinical reports on silicone finger prostheses, available in full and in English were included. Initially, 152 articles were identified. After establishing the inclusion/exclusion criteria, 23 studies were identified and constituted the final sample. Regarding the publication date of the included studies, 17.2% of them were published between 2012 and 2016. Most of the rehabilitations occurred in India (69.9%; n = 16), and the mean age of patients who used prostheses was 38.1 years. The level of scientific evidence of the included studies was IV and VI. Therefore, patients rehabilitated with silicone finger prostheses highlighted significant improvements in functional range of motion, restoration of self-esteem, advantages in psychological therapy, more pleasant social interaction, and changes in their quality of life. Finger,prosthesis,rehabilitation,Silicone THE JOURNAL OF INDIAN PROSTHODONTIC SOCIETY",Ciências da Saúde,Saúde Coletiva,Saúde Pública,Ciências da Saúde,Fisioterapia e Terapia Ocupacional,Fisioterapia e Terapia Ocupacional
18,"Knowledge Translation for Improving the Care of Deinstitutionalized People With Severe Mental Illness in Health Policy Background Knowledge translation (KT) is an effective strategy that uses the best available research evidence to bring stakeholders together to develop solutions and improve public health policy-making. Despite progress, the process of deinstitutionalization in Brazil is still undergoing consolidation, and the changes and challenges that are involved in this process are complex and necessitate evidence-informed decision-making. Accordingly, this study used KT tools to support efforts that aim to improve the care that is available to deinstitutionalized people with severe mental disorders in Brazil. Methods We used the Supporting Policy Relevant Reviews and Trials tools for evidence-informed health policymaking and followed eight steps: 1) capacity building; 2) identification of a priority policy issue within a Brazilian public health system; 3) meetings with policy-makers, researchers and stakeholders; 4) development of an evidence brief (EB) that addresses the problem of deinstitutionalization; 5) facilitating policy dialogue (PD); 6) the evaluation of the EB and PD; 7) post-dialogue mini-interviews; and 8) dissemination of the findings. Results Capacity building and meetings with key informants promoted awareness about the gap between research and practice. Local findings were used to define the problem and develop the EB. Twenty-four individuals (policy-makers, stakeholders, researchers, representatives of the civil society, and public defense) participated in the PD. They received the EB to subsidise their deliberations during the PD, which in turn were used to validate and improve the EB. The PD achieved the objective of promoting an exhaustive discussion about the problem and proposed options and improved communication and interaction among those who are involved in mental health care. The features of both the EB and PD were considered to be favorable and helpful. Conclusions The KT strategy helped participants understand different perspectives and values, the interpersonal tensions that exist among those who are involved in the field of mental health, and the strategies that can bridge the gap between research and policy-making. The present findings suggest that PDs can influence practice by promoting greater engagement among stakeholders who formulate or revise mental health policies. evidence-informed policy,knowledge translation,health policy,policy-making,deinstitutionalization,mental health Frontiers in pharmacology",Ciências da Saúde,Saúde Coletiva,,Ciências da Saúde,Saúde Coletiva,Saúde Pública
19,"A survey and evaluation of mobile apps in science centers and museums This paper studies how science centers and museums around the world have used mobile apps with museum guide characteristics and tries to identify the best interface design principles to improve their use as a tool for interaction with the public. For this purpose, we mapped mobile apps from science centers and museums and applied an evaluation tool for each one to identify good practices. This allowed us to produce guidelines for identifying good practices in the development of apps as a way of expanding visitors' experience in these institutions through these devices. Science and media,Science centres and museums,Visual communication Jcom, Journal of Science Communication",Ciências Sociais Aplicadas,Museologia,,Ciências Sociais Aplicadas,Museologia,Museologia
